character_a,character_b,public_relationship,private_tension,reason_a_seeks_b,reason_b_seeks_a,social_knot,status
C03,C18,Collective and archivist,"Archive gaps may conceal or protect contributors",Understand what records survived,Gain context for anonymous deposits,archive;succession,provisional
C04,C08,Successor and synthetic-media performer,"A staged R appearance could validate or ruin succession",Learn whether embodiment was performed,Discover whether Jules or Vale commissioned a performance,performance;succession,provisional
C04,C13,Successor and Vale's former partner,"Jules asked Vale about manufacturing succession",Obtain Vale's private endorsement or silence,Determine whether Jules manipulated Vale,vale;succession,provisional
C04,C15,Successor and conspiracy broadcaster,"Kit sees Jules as heir, pawn, or killer depending on the hour",Recruit or discredit Kit,Test the succession against the progressive theory,conspiracy;succession,provisional
C05,C06,Founder and former engineer,"Mira approved the project; Eli preserved forbidden logs",Learn what Eli retained and contain it,Identify who authorized the deployment,parallax,provisional
C05,C07,AI founder and worker organizer,"Maren's witnesses can establish harms Mira wants separated from R",Negotiate labor peace and source control,Win enforceable protections for workers,parallax;labor,provisional
C05,C11,Donor and City Hall adviser,"Both concealed aspects of Vale's access to Parallax",Coordinate political containment,Learn what Parallax actually deployed,parallax;city_hall,provisional
C05,C12,AI founder and short-seller,"Their financial interests are openly opposed",Stop the market attack,Find evidence or reaction that moves valuation,parallax;finance,provisional
C06,C07,Engineer and worker organizer,"Eli needs protection; Maren fears technical records expose workers",Find safe corroboration,Understand whether workers were used as human infrastructure,parallax;labor,provisional
C06,C08,Engineer and synthetic-media artist,"Kit may connect them through improvised numerology if Eli chooses",Test whether media assets entered the system,Learn who reused Edi's recordings,parallax;performance,provisional
C06,C12,Engineer and short-seller,"Graham will pay for logs but weaponize them",Finance personal protection or expose manipulation,Obtain a technically credible market catalyst,parallax;finance,provisional
C06,C13,Engineer and Vale's former partner,"Eli showed Vale logs; Samira knows the effect on Vale",Recover or contextualize Vale's copy,Learn what Vale discovered technically,parallax;vale,provisional
C06,C15,Engineer and conspiracy broadcaster,"Kit badgers Eli for a plain technical confession",Redirect or correct Kit,Obtain insider support for the progressive theory,parallax;conspiracy,provisional
C07,C11,Worker organizer and City Hall fixer,"Celeste offers access; Maren demands enforceable commitments",Secure policy protection,Build a credible public coalition,labor;city_hall,provisional
C07,C16,Worker and neighborhood organizers,"They share protective instincts but represent different constituencies",Protect contractors near the physical trail,Extract commitments from technology and government,labor;neighborhood,provisional
C07,C20,Organizer and delivery worker,"Manny's vulnerabilities complicate disclosure",Protect Manny while learning the errand system,Gain advocacy and safe leverage,labor;neighborhood,provisional
C08,C15,Performer and conspiracy broadcaster,"Kit may adopt a numerology theory about Edi during play",Discover and confront the rumor's source,Use Edi's work to support synthetic embodiment,performance;conspiracy,provisional
C08,C17,Performer and tabloid photographer,"Ash's photograph may show Edi or another performer",Inspect the image and its context,Obtain a plausible identity for the photographed person,performance;media,provisional
C09,C10,Shop owner and building superintendent,"Their accounts of collectors and timing conflict",Align the neighborhood story without exposing favors,Determine who handled deliveries after shift changes,neighborhood,provisional
C09,C12,Local witness and market actor,"Graham wants a dramatic ledger reading; Rafi wants payment",Monetize rumor without losing the shop,Turn transaction patterns into market belief,neighborhood;finance,provisional
C09,C14,Local witness and private investigator,"Rafi embellishes; Morgan needs bounded firsthand observations",Gain payment and protection for cooperation,Build the physical routine without adopting Rafi's conclusions,neighborhood;vale,provisional
C09,C16,Neighborhood business owners,"They share trust but disagree about outsiders",Coordinate protection of residents,Use Rafi's records to negotiate institutional commitments,neighborhood,provisional
C09,C20,Package holder and delivery fixer,"Each knows only half of several transactions",Settle debts and reconcile records,Recover pay and decide what to do with the undelivered object,neighborhood,provisional
C10,C13,Superintendent and Vale's former partner,"Samira recognizes a location Dee omitted",Clarify Vale's presence without revealing the camera secret,Reconstruct Vale's last route,vale;neighborhood,provisional
C10,C14,Building witness and private investigator,"Dee fears becoming the convenient culprit",Obtain a defensible hearing and protection,Clarify the access gap,vale;neighborhood,provisional
C10,C16,Building worker and neighborhood leader,"Inez helped arrange unlogged access",Coordinate or break the neighborhood silence,Protect Dee while learning what occurred,neighborhood;vale,provisional
C10,C20,Building worker and delivery fixer,"Manny used service routes Dee controlled",Align facts without exposing off-book work,Verify route and timing,neighborhood,provisional
C11,C12,City Hall adviser and short-seller,"Celeste fears market panic; Graham profits from it",Contain a financial narrative,Obtain government reaction that validates the rumor,city_hall;finance,provisional
C11,C16,City Hall and neighborhood brokers,"Each claims to represent people the other uses symbolically",Secure local legitimacy,Extract concrete commitments,city_hall;neighborhood,provisional
C12,C14,Short-seller and private investigator,"Graham wants a conclusion; Morgan has only a partial case",Buy credible timeline details,Get paid without selling an unsupported answer,finance;vale,provisional
C12,C15,Market provocateur and conspiracy broadcaster,"Each amplifies the other while privately doubting the other",Turn Kit's audience into market movement,Obtain funding and reach for the theories,finance;conspiracy,provisional
C13,C14,Vale's former partner and investigator,"Morgan's anonymous client may be connected to Samira",Learn who hired Morgan,Obtain consent for personal-timeline evidence,vale,provisional
C13,C15,Vale's former partner and conspiracy broadcaster,"Kit turns Vale into a symbol Samira wants protected",Correct Kit's personal claims,Obtain the missing human link in the progressive theory,vale;conspiracy,provisional
C14,C15,Private investigator and conspiracy broadcaster,"Morgan values supportable facts; Kit values the complete pattern",Use Kit's leads without endorsing conclusions,Force the investigator to address the whole theory,vale;conspiracy,provisional
C14,C16,Investigator and neighborhood broker,"Morgan needs access that Inez controls",Reach voluntary neighborhood witnesses,Ensure investigation does not harm residents,vale;neighborhood,provisional
C17,C18,Photographer and archivist,"Ash wants vindication; Farah refuses overclaiming",Authenticate the image's material history,Inspect a disputed media artifact,media;archive,optional
C17,C19,Photographer and biographer,"Both want the definitive human story",Trade image and narrative access,Attach a face to a marketable biography,media;performance,optional
C18,C19,Archivist and biographer,"Dorian wants certainty Farah cannot supply",Access private correspondence for preservation,Obtain professional validation,archive;performance,optional
C16,C20,Neighborhood leader and delivery fixer,"Inez protects Manny from institutional pressure",Learn what the errand system did locally,Gain protection and leverage,neighborhood,optional
