character_id,main_goal,main_success_condition,subgoal_one,subgoal_one_success,subgoal_two,subgoal_two_success,final_choice,opening_targets,midgame_targets,endgame_targets,information_to_trade,information_to_protect,design_risk,status
C11,Build the coalition that defines the city's response without becoming the story,Secure support from three different constituencies and make one concrete policy or funding commitment that survives every ending,Contain the off-calendar meeting,Reach an agreement with Mira or Samira about what can be disclosed and who accepts responsibility,Determine whether Morgan's manufactured lead traveled the back channel,Compare routing details with Morgan without confessing to building the channel,"Quietly resign and let City Hall bury the channel, or hand Morgan its paper trail knowing where it may lead",C01;C16,C05;C07;C12,C05;C07;C16,Political access; meeting context; donor and permitting knowledge,"Deleted calendar, role in Vale's Parallax access, and the deniable-leak channel Celeste built at City Hall",High relationship count can make Celeste frictionless; every introduction should demand a concession,provisional
C12,Make the R rumor materially affect Parallax's valuation without being exposed as its manufacturer,Induce two characters outside finance to publicly treat the rumor as consequential while surviving a public challenge about its provenance,Acquire credible technical context,Purchase or bargain for a bounded statement from Eli or Mira without controlling its wording,Control the story of the first tip,"Persuade Arden, Celeste, or Kit that amplification was analysis rather than fabrication",Admit a market tactic or escalate a rumor that may be false,C01;C15,C05;C06;C09,C11;C14;C15,Money; market access; first-tip record; fragment descriptions,Extent of amplification and financial exposure,A market goal may reward misinformation too efficiently; success requires surviving provenance challenge,provisional
C13,"Learn whether Vale used, trusted, or deceived Samira and decide what the room may make of Vale","Obtain two independently sourced Vale observations, correct one false personal claim, and make a final disclosure decision",Identify Vale's relationship with Jules and Eli,Exchange separate pieces with both without giving either the full private history,Determine whether the disappearance followed an old safety plan,"Compare the route with Morgan, Dee, or Inez and state what remains unknown",Protect Vale's privacy or disclose evidence needed to distinguish harm from withdrawal,C04;C06,C10;C14;C15,C14;C15;C16,Vale's habits; correspondence; prior disappearance plan; personal recognition,Helping Vale disappear before and initially lying about it,Emotional authority could be mistaken for factual authority; Samira must distinguish intimacy from proof,provisional
C14,Produce a defensible Vale timeline and identify who is trying to purchase its conclusion,"Obtain voluntary accounts from three social knots, label one unresolved contradiction, and decide what to report about the anonymous client",Identify the client,"Trade limited timeline access with Celeste, Graham, or Samira for provenance",Test the physical route without police powers,Hold a voluntary case conference with two witnesses whose accounts conflict,Deliver the purchased answer or admit the case cannot support it,C13;C16,C09;C10;C12,C06;C11;C15,Partial timeline; interview notes; manufactured lead; convening credibility,Omission of the false lead from the interim report,Investigator structure may make Morgan an answer funnel; conferences must remain voluntary and inconclusive,provisional
C15,Present every theory and earn serious consideration for at least one after visible corrections,"Explain all six theories to other players, publicly retract or revise both disproven theories, and recruit two people to investigate the complete progression without treating your story as proof",Badger Eli for a plain answer,Obtain a bounded technical statement or provoke a public correction without claiming it proves the theory,Build independent corroboration,"Bring people connected to early journalism, Parallax, and Vale's final route into one voluntary comparison",Correct false claims and risk the audience or package truth and nonsense together,C02;C06,C03;C08;C12,C13;C14,Complete progressive theory; audience; rumor-propagation record; social connections,Staged source and two demonstrably false theories,Floor dominance plus complete theory could make the progressive ending inevitable; retraction and independent corroboration are mandatory,provisional
C16,Protect neighborhood people while extracting enforceable commitments from institutions using their stories,"Secure two concrete commitments from Veridian, Parallax, City Hall, or labor allies and ensure no neighborhood disclosure occurs without a negotiated benefit or protection",Protect Dee and local witnesses,Agree on a disclosure boundary with Dee or Rafi before Morgan's questioning intensifies,Make institutions pay attention to the neighborhood,Broker a meeting between one local holder and one institutional actor in exchange for a commitment,Preserve the neighborhood's silence or reveal enough to clarify Vale's route,C07;C09,C01;C10;C11,C11;C13;C14,Neighborhood access; trust; back-room and route context,Arranging unlogged access without verifying identity,All mystery evidence arrives late; early leverage must produce visible agreements,provisional
C17,Vindicate the disputed photograph without repeating the overclaim that ruined you,Get Farah to date the negative and two other characters to state publicly what the image can and cannot show,Recover the context of the withheld frames,Trade the uncropped sequence to Edi or Dorian for identification help,Turn tonight into a paying story either way,"Sell one commitment for exclusive images or testimony to Graham, Dorian, or Arden",Publish the vindicating version or admit the presentation was manipulated,C08;C18,C02;C19,C01;C12,The uncropped negative sequence; press instincts; visual memory of who was where,The original presentation manipulation,A single-reveal arc could go inert; the withheld frames must stay tradable all night,provisional
C18,Protect archival integrity while resolving the exam you never documented,Get the First R Letter re-examined under documented conditions and disclose the anomaly on your own terms,Date Ash's negative honestly,Deliver a bounded materials finding that neither vindicates nor destroys Ash,Keep provenance distinct from authorship in public,Correct two public conflations of dating with authorship without humiliating the speakers,"Disclose the undocumented exam and the anomaly in the letter's fold, or preserve professional neutrality and let the legend stand",C02;C17,C01;C03,C02;C19,Materials dating; storage histories; institutional gap analysis,The undocumented exam and the modern optical-brightener trace it found,A caution-only role; the anomaly gives Farah a bomb she must choose to arm,provisional
C19,Secure the career-defining human story of R and Vale,Obtain on-record confirmation from two intimates while surviving one public provenance challenge,Authenticate the correspondence trove,"Get Samira, Frankie, or Farah to validate or refute one intimate-looking letter",Test the tip-line draft against the trove,Compare cadence with Kit's draft page and state what the comparison can and cannot show,Publish the moving version or the true one,C02;C13,C15;C17,C13;C18,Intimate-looking correspondence; publishing reach; narrative skill,Which letters are fabricated or stripped of context,Charm without stakes; the fabricated letters must risk detonation in front of Samira,provisional
C20,Get paid for the errand trail without letting it expose you,Settle accounts with Rafi and secure one written protection before revealing any route detail,Decide the undelivered object's fate,Learn from Dee or Inez what the delivery address connects to before handing it to anyone,Turn the dispatch record into leverage,Trade one bounded route confirmation to Morgan or Maren for payment or protection,"Hand over the undelivered object, deliver it as originally dispatched, or destroy it unopened",C09;C10,C07;C16,C14;C16,App-dispatched errand history; the undelivered object; route knowledge,"Immigration, tax, and platform vulnerabilities in the off-book work","Optional roles must not gate any ending; the object stays context, never a key",provisional
