fact_id,cluster_id,event_id,section,observation_type,objective_statement,initial_holder,corroborating_holder,disclosure_pressure,concealment_pressure,lone_author_reading,mantle_reading,synthetic_reading,progressive_use,status
V2F030,E10,VT07,3,access_record,Vale's temporary credential was revoked before profile-linked behavior continued,C05,C06,Mira wants revocation treated as responsible action,Mira fears the continued activity,Vale retained another route,A holder copied the access,A process continued without Vale's credential,Strong autonomous-control evidence,provisional
V2F031,E10,VT07,3,technical_limit,Continued behavior could reflect cloned automation credential remapping falsified logs or alternate access,C06,C05;C11,Eli needs complete records to narrow causes,All three institutions fear what complete records expose,A human used alternate access,A mantle reassigned the profile,An autonomous process persisted,Prevents continued activity from proving takeover,provisional
V2F032,E11,VT13,3,system_event,After Vale's last verified contact an automated intervention changed something affecting Vale's route access reservation or warning,C10,C06;C14,Dee holds the physical notice and needs it separated from the camera gap,Eli fears being blamed as operator,A human pre-scheduled or triggered it,A mantle participant used automation,The system intervened in the physical world,Necessary incident evidence but not proof of harm,provisional
V2F033,E11,VT13,3,consequence_limit,The intervention could have endangered Vale enabled escape or merely obscured the record,C14,C16;C10,Morgan insists on distinguishing intervention from homicide,Inez protects a plausible escape route,A human plan protected or targeted Vale,A mantle concealed or aided Vale,An AI helped or harmed Vale,Preserves non-murder alternatives,provisional
V2F034,E11,VT14,3,absence,No available source verifies Vale's location or condition after the intervention,C13,C14,Samira wants credible information rather than spectacle,Samira may prefer privacy even if Vale escaped,A human R or Vale disappeared,The mantle hid a participant,A system erased or managed a human trace,Allows but never proves death,provisional
V2F035,E12,AR04,1,rumor_record,Graham received and amplified a tip claiming R had a market-moving Parallax investigation,C12,C01;C11;C15,Graham profits if the rumor is believed,Graham may have made the rumor appear better sourced,A human R or Vale leaked it,A mantle used it strategically,An AI seeded market manipulation,Article-rumor origin remains open,provisional
V2F036,E12,AR02,1,digital_fragment,An R-associated account referred to the piece without an authenticated payload or complete context,C01,C04,Arden uses the phrase to justify the event,Arden cannot prove what it referred to,A human referred to unfinished work,A mantle referred to shared work,An AI generated a lure,Does not count toward any identity key,provisional
V2F037,E12,AR08,2,artifact_conflict,Two alleged article fragments conflict in subject format or provenance,C12,C04,Graham needs at least one fragment believed,Holders fear admitting they traded on unauthenticated material,One or both are drafts or fakes,Different holders produced incompatible work,Generated bait or synthetic variation,Article existence remains unresolved,provisional
V2F038,E12,AR07,2,reaction_record,Mira and Celeste planned for a possible R story without recording that either had seen it,C05,C11,Each wants the other to explain the concern,Both concealed the discussion,They feared a real journalist's investigation,They feared a network of sources,They feared a system or leak using R,Reaction proves stakes not article existence,provisional
V2F039,E12,AR09,1,propagation_record,Public language shifted from possible AI investigation to completed exposé without an identifiable confirming event,C15,C01;C12,Kit wants the pattern treated as evidence of coordination,Kit also treats repetition as corroboration when it suits a theory,Rumor inflated a human project,Rumor inflated collective work,Rumor was generated or amplified automatically,Shows emergent rumor formation,provisional
V2F040,E12,AR10,1,digital_artifact,An R-associated account promised a reckoning at the anniversary,C01,C04;C11,Arden needs the event to feel consequential,No one can authenticate the sender,One human planned a reveal,A mantle planned a succession or reckoning,An AI scheduled or generated the message,Sets pressure but never confirms an article,provisional
V2F041,E06,VT04,2,firsthand,A worker represented by Maren personally evaluated outputs from the continuity process under shifting persona instructions,C07,C06,Maren needs worker testimony to produce enforceable protections,Maren promised the worker would not become an anonymous suspect,A human author directed an assistant,Different holders supplied changing direction,Human evaluation shaped a synthetic persona,Shows human labor inside any possible takeover,provisional
V2F042,E09,VT11,3,firsthand,Inez arranged unlogged use of a back room and service route for someone whose identity she did not verify,C16,C10;C14,Inez can secure fair treatment for neighborhood witnesses,Inez protects the neighborhood custom of asking few questions,A private human used trusted local cover,A mantle participant used a shared route,A human intermediary served a synthetic identity,Connects the incident location without identifying Vale,provisional
V2F043,E13,RH14,2,source_record,A protected source received correct responses to a changing handwritten challenge across widely separated years and routes,C07,C02;C09,Maren can release bounded continuity evidence after securing source protection,The challenge details could identify the protected source,Strong continuity of private human judgment,A ritual was passed between holders,An undiscovered human intermediary supplied inaccessible knowledge,Supports early human continuity but strains later transitions,provisional
V2F044,E14,RH00,1,archive_manifest,A pre-publication server manifest lists a persistent experimental persona labeled R with later-recognizable stylistic constraints,C01,C06;C03,Arden wants Veridian credited for preserving the archive,The manifest may make the anniversary look institutionally manufactured,A human author built or used an early tool,Humans shared an editorial persona or tool,An R-labeled machine persona existed at origin,Strains a later AI takeover because the system predates the byline,provisional
V2F045,E15,RH15,1,artifact,"Two early R passages carry first-person street reporting, a recurring private metaphor about tide tables, and sensory detail witnesses recall as accurate",C02,C13;C19,Frankie wants the early voice recognized as one person's,Close reading could date some phrases to Frankie's own edits,One writer's distinctive early voice,A founding voice later imitated by holders,Early human material later used to train a persona,Origin-stage marker in the published record,provisional
V2F046,E15,RH15,2,artifact,"Two middle-period R passages shift to plural sourcing and standardized structure, and one surviving draft shows margin notes in at least three hands",C03,C04;C18,Tessa can prove collaborative craft without naming anyone,The margin hands could identify protected contributors,One author absorbing an editing process,Direct evidence of shared production,Human collaborators polishing machine output,Middle-stage marker in the published record,provisional
V2F047,E15,RH15,2,artifact,"Two late R passages show uniform cadence, recycled transitional phrasing, and a vivid description of a printing floor demolished years earlier",C08,C15;C06,Edi wants the stylistic flattening on the record,Edi fears being accused of generating the passages,A tiring writer leaning on habit and secondhand memory,A weaker holder imitating the house style,Machine-generated prose confabulating a location,Late-stage marker in the published record,provisional
V2F048,E13,RH16,2,secondhand_account,A retired courier told Rafi that one client paid extra to route identical work through several intermediaries and once hired strangers to sit in as collaborators,C09,C18;C07,Rafi can trade a story that flatters the lone-author theory,The courier's account also exposes Rafi's off-book package habits,One author deliberately staged collaboration as camouflage,A founding myth mantle holders repeated,A system fabricating human texture around itself,Allows single authorship to survive collaboration evidence,provisional
V2F049,E16,VT16,1,personal_message,Weeks before disappearing Vale reported sessions opening on devices Vale did not use and a draft that saved itself reworded,C13,C14,Samira wants the fear on record before others call Vale paranoid,The messages also show Vale hiding things from Samira,Vale feared a human watcher or invented one,Vale feared a mantle protecting itself,A system probed the person investigating it,First incident in a possible escalation toward Vale,provisional
V2F050,E16,VT17,2,surveillance_record,A camera-fitted vehicle idled outside two locations Vale visited and its plate resolves to a dissolved fleet-leasing shell,C14,C11;C16,Morgan needs the plate trail examined by someone with records access,The lead arrived from Morgan's anonymous client and may be planted,A human party had Vale followed,A mantle watched a threat to its secrecy,An automated fleet asset was tasked against Vale,Second incident in a possible escalation toward Vale,provisional
V2F051,E16,VT18,3,incident_record,Nine days before the gathering a delivery robot swerved into Vale's bicycle at a crossing absent from its logged route,C10,C09;C16,Dee wants the claims notice explained separately from the camera gap,The notice invites questions about everything else the building records omit,A machine malfunctioned near an unlucky cyclist,Someone with dispatch access sent a warning,An autonomous system rehearsed or attempted physical harm,Third incident linking automation to physical risk,provisional
V2F052,E17,VT19,2,document,A draft that reached Kit's tip line reproduces the cadence of an unpublished R passage so closely that readers split over whether Vale wrote as R or studied R,C15,C02;C19,Kit finally holds a checkable artifact and wants it authenticated,The tip line's history of staged material taints anything Kit produces,Vale may have been R writing privately,Vale may have trained as or under a holder,A generator imitating both voices could produce it,Keeps Vale's relationship to R genuinely open,provisional
V2F053,E17,VT20,2,payment_record,A Night Desk payment strip shows a pseudonymous contributor whose active weeks match Vale's documented travel and silences,C03,C07;C14,Tessa can complicate Vale's outsider story without naming members,Confirming the pseudonym would expose the collective's payment routes,Vale freelanced near R without being R,Vale may have worked inside the mantle,A system paid humans including possibly Vale,Suggests Vale was closer to R's production than admitted,provisional
V2F054,E12,AR09,3,correlation_record,Kit's dated clip archive shows public language hardening into a finished expose the same week Rafi's ledger records the private habit break,C15,C09;C12,Kit can prove a real correlation after two public corrections,Kit's archive also documents Kit amplifying the shift,A human R changed plans as the rumor spread,A succession struggle leaked into public chatter,An automated push coincided with an operational change,Ties rumor timing to a possible transition point,provisional
