message_id,message_type,narrative_date,provenance,section,offset,recipient,from_display,subject,body,fact_refs,purpose,expected_face_to_face_action,status
V2M002,live,,original,1,04:00,Arden Bell,Veridian Archives,Intake discrepancy,"The First R Letter intake file is ready. The material date is plausible. The record does not say Frankie delivered it, and the expense entry places Frankie's account under strain.",V2F001;V2F002;V2F003,Make Arden trade archive limits rather than simply endorse Frankie,Decide what to show Frankie and what Veridian needs in return,provisional
V2M003,live,,original,1,07:00,Frankie Lowell,Unknown number,Your meeting,Vale asked whether you remembered meeting R or remembered telling the story. Vale said the difference would matter tonight.,V2F021,Challenge memory without disproving the human origin,Seek corroboration or confront someone who knows Vale's methods,provisional
V2M004,live,,original,1,10:00,Tessa Quill,Night Desk secure relay,Source concern,One contributor heard about the anniversary and is frightened that the routing slip will be treated as a list of R suspects. Do not use their name without protection.,V2F004;V2F005;V2F006,Tie mantle disclosure to source protection,Negotiate a disclosure boundary with Maren or Arden,provisional
V2M005,live,,original,1,13:00,Maren Okafor,Worker representative,No names,The evaluator Vale met will speak only if someone commits—in writing—that no worker name will be used to identify R or explain Vale's disappearance.,V2F041,Create a non-mystery commitment before worker evidence moves,"Seek a written protection from Veridian, Parallax, or City Hall",provisional
V2M006,live,,system,1,16:00,Rafi Calderón,Accounts app,Outstanding balance,The R-associated account is still unpaid. The transaction export shows years of continuity and several different collectors. Decide what that story is worth—and to whom.,V2F007,Activate debt and ledger leverage,"Approach Morgan, Graham, Frankie, or Inez with bounded terms",provisional
V2M007,live,,system,1,20:00,Graham Pike,Market alert,R rumor moves,Parallax-linked chatter is moving on the claim you repeated. No source has produced a complete article. Your exposure increases with every person who calls the rumor confirmed.,V2F035;V2F039,Force Graham to choose between provenance and amplification,Recruit belief or disclose how the tip actually spread,provisional
V2M008,live,,system,1,24:00,Kit Rakes,Clip monitor,Correction pending,Your claim that the invitation typography contains a machine key has been checked against the printer's production file. The marks are ordinary registration errors.,,Begin visible disproof of one false theory,Correct the claim or reinterpret the disproof in public,provisional
V2M053,live,,original,1,27:00,Frankie Lowell,Unknown number,Fourteen years of answers,"A protected source says R personally answered a changing handwritten challenge for fourteen years, across routes no collective could coordinate. If that is true, your one human outlived every committee. Maren knows who kept the challenges.",,Tease the private-continuity chain early so One Human survives Section 1,Seek Maren and offer something real for a bounded look,provisional
V2M009,live,,original,1,29:00,Inez Baptiste,Neighborhood voicemail,Outsiders asking,"Someone is offering cash for the name attached to the service route. Dee and Rafi are already nervous. If the neighborhood speaks, decide what protection it gets first.",V2F042,Activate Inez before late physical evidence,"Broker terms with Morgan, Arden, Celeste, or Maren",provisional
V2M038,live,,system,1,33:00,Dee Nowak,Building management,Audit notice,"The unpreserved camera interval has been flagged. No image identifies Vale or R. If the gap becomes public without context, management will treat you as responsible for every unanswered question.",,Give Dee an early reason to seek protection before the route reveal,Approach Inez or Morgan and negotiate how the gap will be described,provisional
V2M040,live,,original,1,35:00,Arden Bell,Veridian Archives,Before the byline,A recovered manifest predates the first R publication. It lists an experimental persistent persona labeled R and stylistic constraints later associated with the byline. It does not identify the designer or author. Eli and Tessa can test its limits.,V2F044,Give Synthetic Origin a late origin-specific affirmative trace,Bring Eli and Tessa into a bounded provenance comparison,provisional
V2M010,live,,system,1,38:00,Everyone at Fifteen Years of R,Event system,A point of order,"No complete article will be presented tonight. Several guests claim fragments, summaries, or promises. Treat every claim according to who benefits from calling it an article.",V2F035;V2F036;V2F039,Lock article ambiguity and redirect attention to rumor provenance,Ask a claimant what they personally saw rather than whether they believe,provisional
V2M011,live,,original,2,00:00,Everyone at Fifteen Years of R,R.,One voice,"A voice can be inherited, rehearsed, or generated. Three of you have described meeting R. You met three different rooms, and at least one of those rooms was paid for. Compare what you actually encountered before you repeat what you believe.",V2F012;V2F013,"Open embodiment, mantle, and synthetic interpretations equally",Compare firsthand encounters and production processes,provisional
V2M012,live,,system,2,04:00,Jules Kwan,R. account service,Delivery details,"Your succession message was scheduled before delivery. The service can authenticate the account association and timing, not the composer. Someone has requested the complete header.",V2F009,Put the succession message into voluntary circulation,Choose an examiner and negotiate the scope of their conclusion,provisional
V2M013,live,,original,2,07:00,Eli Navarro,Former Parallax colleague,Three different questions,"Capability, access, and autonomous behavior are not the same finding. If you release the logs, release them separately. Mira has an authorization record you never saw.",V2F015;V2F016;V2F020,Prevent a single technical proof dump,Trade one log excerpt for authorization or corroboration,provisional
V2M014,live,,system,2,10:00,Edi Velez,Payment processor,Old commission,A redacted export confirms your old performance fee passed through an intermediary later associated with R. It does not identify the client. Jules may recognize the route.,V2F014,Connect performance to succession without authenticating either,Compare O04 with Jules under terms Edi controls,provisional
V2M015,live,,original,2,13:00,Dr. Mira Sen,Parallax Legal,Scope of approval,The surviving authorization proves you approved the continuity project. It does not show every later use. Celeste's missing calendar entry may explain how Vale reached it.,V2F017;V2F029,Create a responsibility bargain rather than a villain reveal,Seek Celeste and decide what responsibility to share,provisional
V2M016,live,,original,2,16:00,Celeste Park,Calendar recovery,Deleted appointment,"A recoverable entry links you, Vale, and Parallax. Mira holds the matching access authorization. Neither half records what Vale learned.",V2F029;V2F038,Force Celeste to bargain across politics and Parallax,Compare records with Mira or set disclosure terms with Samira,provisional
V2M017,live,,original,2,19:00,Frankie Lowell,Veridian transcription desk,Familiar words,The succession message repeats a formulation from the First R Letter. Eli says its structure also resembles a Parallax recommendation output. Resemblance is not authorship.,V2F010,Give Frankie a choice between supporting succession and defending origin,Compare O01 and O03 with Jules and Eli,provisional
V2M018,live,,original,2,22:00,Tessa Quill,Shared drop monitor,Unknown operator,The disputed activity interval falls outside every contributor schedule you have disclosed. You still have contributors you have not named.,V2F018;V2F020,Make Tessa's source protection sustain both mantle and AI possibilities,Decide what boundary to confirm without naming people,provisional
V2M019,live,,original,2,25:00,Arden Bell,Donor relations,Restriction invoked,"A Parallax donor condition allows funding to pause if Veridian presents unauthenticated technical claims as fact. Mira did not invoke it. Someone else just asked whether she could—and the inquiry was routed through City Hall. Ask Celeste who is asking, before you thank the donors.",,Escalate funding pressure without proving a culprit,Confront Celeste about the routed inquiry and decide whether to disclose the restriction,provisional
V2M020,live,,original,2,29:00,Maren Okafor,Worker representative,Changing instructions,"The protected evaluator remembers persona instructions changing between supervisors. That is firsthand labor evidence, not proof that the persona was R. The worker still requires written protection.",V2F041,Strengthen Maren's relevance to mantle/AI distinction,Trade bounded testimony only after securing commitments,provisional
V2M021,live,,original,2,33:00,Rafi Calderón,Morgan Shaw,Date the change,Your ledger may be the only independent way to date the private habit's shift. I will not call any customer R. Name your terms for a bounded look. —Morgan,V2F008,Create a clean PI/local bargain,Negotiate ledger access and attribution with Morgan,provisional
V2M022,live,,original,2,37:00,Graham Pike,Anonymous market chat,Buy certainty,A buyer offers to cover your position if you can produce a technical source saying R operated autonomously. They do not require the source to say when.,V2F016;V2F018,Tempt Graham to distort Eli's qualified evidence,Pressure or protect Eli and face provenance challenge,provisional
V2M052,live,,original,2,39:00,Graham Pike,Anonymous market chat,Which fragment is real,You have circulated descriptions of two fragments that cannot belong to the same document. A rival desk is preparing to publish the discrepancy with your name on the amplification. Get ahead of it or get buried by it.,V2F037,Force the incompatible-fragments problem into circulation,Reconcile the fragments publicly or recruit Jules before the story lands,provisional
V2M023,live,,system,2,41:00,Kit Rakes,Printer of record,Second correction,The bodega prices in your cipher theory match ordinary wholesale changes and sales tax. The claimed borough coordinates do not survive the corrected totals.,V2F007,Disprove Kit's second false theory before the progressive case,"Retract or double down, then seek independent evidence",provisional
V2M039,live,,original,2,43:00,Maren Okafor,Protected source,The old challenge,I kept the challenges. Correct responses came back across years and different routes. The rule changed each time and was never published. I believed only my first contact knew how—but belief is not proof. Protect me before you use this.,V2F043,Give Lone Author a resilient late affirmative chain with a source-protection cost,Seek Frankie and Rafi for corroboration after enforcing the protection commitment,provisional
V2M024,live,,original,2,47:00,Everyone at Fifteen Years of R,R.,What Vale told you,Vale confided in exactly three people in this room and made sure they would never compare notes. One heard where R began. One heard what R became. One heard what Vale meant to do about it. Vale trusted your discretion. Decide what it is worth now.,,Create voluntary comparison without broadcasting the progressive sequence,Identify the other two recipients and negotiate a private comparison of Vale's exact words,provisional
V2M051,live,,original,2,50:00,Samira Vale,Personal archive,What Jules asked,Jules is collecting supporters for the succession tonight. You still hold the message where Jules asked Vale how a succession could be manufactured. Decide whether tonight is the night Jules explains it to your face.,V2F011,Activate the succession confrontation held by Samira,Confront Jules privately or trade the message's existence to Morgan,provisional
V2M025,live,,original,3,00:00,Everyone at Fifteen Years of R,Unknown sender,Last verified,"Vale entered the neighborhood two days ago. After a service-route gap and an automated intervention, the verified trail ends. Absence is not a body. Intervention is not intent.",V2F025;V2F026;V2F032;V2F033;V2F034,Open the Vale incident while preserving non-murder explanations,Build a voluntary route comparison,provisional
V2M026,live,,system,3,04:00,Morgan Shaw,Retainer service,Client anomaly,The lead supplied by your client was generated from a map version withdrawn before Vale began the investigation. Someone manufactured it—or reused an old template.,V2F027,Pressure Morgan to disclose investigative contamination,"Seek client context from Celeste, Samira, or Graham and label the gap",provisional
V2M027,live,,original,3,07:00,Samira Vale,Personal archive,Still sealed,The envelope you prepared after Vale asked for help disappearing remains sealed. One item may match Morgan's route. Opening it may clarify the trail and expose a private history Vale expected you to protect.,V2F028,Make privacy a real endgame choice,Set terms with Morgan or Inez before opening or withholding O09,provisional
V2M028,live,,system,3,10:00,Dee Nowak,Building audit,Two records,The camera gap and the later automated access change are separate events. Morgan is asking to compare them. Inez knows why the service route was available.,V2F026;V2F032,Prevent Dee's records from collapsing into a murder narrative,Secure protection and compare O10 with Morgan and Inez,provisional
V2M029,live,,system,3,13:00,Eli Navarro,System monitor,After revocation,"Activity linked to Vale's profile continued after revocation. The building later logged a physical intervention, but that notice is not yours—Dee holds it. Your logs do not establish the operator, intent, or whether Vale encountered anything.",V2F030;V2F031,Supply the progressive technical bridge with explicit limitations,Find Dee and Morgan and offer interpretation without taking custody of their records,provisional
V2M030,live,,original,3,16:00,Jules Kwan,Vale draft folder,Take it back,"A recovered draft contains Vale's question: “If the name chose me, could I choose it back?” The line may concern you, Vale, R, or no actual succession at all.",V2F023,Complicate rather than settle Vale's claimant role,Compare full correspondence with Samira and decide what to admit,provisional
V2M031,live,,original,3,19:00,Dr. Mira Sen,Parallax Security,Revoked means revoked,"Security confirms Vale's credential was revoked before the continued activity. It cannot exclude remapping, cloned automation, another credential, or falsified logging.",V2F030;V2F031,Force Mira to address continued behavior without conceding autonomy,Compare authorization with Eli and Celeste and choose disclosure,provisional
V2M032,live,,system,3,22:00,Edi Velez,Media render service,Output time,A render using elements from your old commission completed during the no-known-operator interval. Tessa can bound contributor availability; Dee can bound local access. Neither can exclude remote action.,V2F019;V2F020,Connect performance and autonomy through multiple holders,Seek Tessa or Dee rather than accepting Eli as sole authority,provisional
V2M033,live,,original,3,25:00,Celeste Park,City Hall counsel,Choose the record,"If you disclose the deleted Vale meeting voluntarily, counsel can defend it as informal oversight. If someone else discloses it first, the city will deny authorizing you.",V2F029,Make political disclosure choice urgent,Negotiate shared responsibility with Mira or worker safeguards with Maren,provisional
V2M034,live,,original,3,28:00,Samira Vale,Unknown number,Old plan,Vale's last verified route overlaps a location used during the earlier disappearance you helped arrange. That supports escape as easily as repetition of a known vulnerability.,V2F028;V2F034,Keep voluntary disappearance live,Correct Kit or give Morgan bounded personal context,provisional
V2M035,live,,original,3,31:00,Morgan Shaw,Case notes,Conference window,You have time for one voluntary Case Conference. Invite two people whose firsthand accounts conflict. Record what each observed and what neither can establish.,V2F025;V2F026;V2F032,Exercise the PI mechanic without forced testimony,Convene two consenting witnesses and state the remaining gap,provisional
V2M036,live,,original,3,34:00,Inez Baptiste,Neighborhood line,Your price,Institutions now need the service-route context you protected. Dee needs fair treatment. Samira needs privacy. Decide what the neighborhood receives before you connect them.,V2F042;V2F026,Turn late evidence into commitments,Broker one protected comparison in exchange for a concrete concession,provisional
V2M054,live,,system,3,37:00,Kit Rakes,Clip monitor,Your own archive,Corrections issued tonight: two. Patterns remaining: one. The week public language hardened into a finished expose is the same week the bodega ledger dates the habit break. You recorded both. Nobody else did.,V2F054,"Give Kit a true, checkable correlation after the staged disproofs","Bring Rafi and Graham a dated side-by-side and ask for verification, not belief",provisional
V2M037,final,,original,3,43:00,Everyone at Fifteen Years of R,Host,Prepare your reconstruction,"No further messages will arrive. Decide who or what R was, what Vale was doing, and what most likely happened. The existence and fate of any article are not on the ballot because the room cannot establish them.",,Close investigation without a publication switch,"Make final bargains, public corrections, and reconstruction arguments",provisional
